Distrito,Cluster,OLT,F,S,P,Cuenta,Código QR,Capacidad,Latitud,Longitud,NOMBRE_SPLITTER,Ubicacion
COACALCO,COACALCO,COACALCO_DF,0,1,4,0105981415,TP537547,1:16,19.630089357378303,-99.09839395433664,TP537547,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,4,0114383896,TP537547,1:16,19.630089357378303,-99.09839395433664,TP537547,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,4,0104290688,TP537547,1:16,19.630089357378303,-99.09839395433664,TP537547,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,4,0106968330,TP537547,1:16,19.630089357378303,-99.09839395433664,TP537547,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,4,0122258875,TP537547,1:16,19.630089357378303,-99.09839395433664,TP537547,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,4,0142081824,TP537547,1:16,19.630089357378303,-99.09839395433664,TP537547,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,4,0113206659,TP537547,1:16,19.630089357378303,-99.09839395433664,TP537547,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,4,0140512014,TP537547,1:16,19.630089357378303,-99.09839395433664,TP537547,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,4,0122388799,TP537547,1:16,19.630089357378303,-99.09839395433664,TP537547,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,4,0130845936,TP537547,1:16,19.630089357378303,-99.09839395433664,TP537547,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,4,0140663573,TP537547,1:16,19.630089357378303,-99.09839395433664,TP537547,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,4,0108440615,TP537547,1:16,19.630089357378303,-99.09839395433664,TP537547,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,4,0103308920,TP537547,1:16,19.630089357378303,-99.09839395433664,TP537547,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,4,0143048961,TP537547,1:16,19.630089357378303,-99.09839395433664,TP537547,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,4,0142328867,TP537547,1:16,19.630089357378303,-99.09839395433664,TP537547,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,4,0143112300,TP537547,1:16,19.630089357378303,-99.09839395433664,TP537547,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,4,0107504377,TP537550,1:8,19.629784303691203,-99.09843653440475,TP537550,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,4,0104173427,TP537550,1:8,19.629784303691203,-99.09843653440475,TP537550,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,4,0103274660,TP537550,1:8,19.629784303691203,-99.09843653440475,TP537550,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,4,0140360050,TP537550,1:8,19.629784303691203,-99.09843653440475,TP537550,Poste
